"purchase_day";"ticket_price";"ticket_title";"ticket_sub_title";"tickets_count";"total_amount";"currency"
"2017-03-18 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"2456";"1571,84";"EUR"
"2017-03-17 00:00:00";"3,04";"3 dienų";"3 dienų (72 val.) bilietas su 50% nuolaida";"1";"3,04";"EUR"
"2017-03-17 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"30";"13,80";"EUR"
"2017-03-17 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"230";"73,60";"EUR"
"2017-03-17 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"34";"196,86";"EUR"
"2017-03-17 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"2";"10,42";"EUR"
"2017-03-17 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"1";"2,37";"EUR"
"2017-03-17 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"8";"9,76";"EUR"
"2017-03-17 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"46";"32,20";"EUR"
"2017-03-17 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"38";"7,22";"EUR"
"2017-03-17 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"113";"14,69";"EUR"
"2017-03-17 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"27";"781,92";"EUR"
"2017-03-17 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"5";"130,35";"EUR"
"2017-03-17 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"4";"47,48";"EUR"
"2017-03-17 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"2";"12,16";"EUR"
"2017-03-17 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"20";"69,60";"EUR"
"2017-03-17 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"281";"261,33";"EUR"
"2017-03-17 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"4355";"2787,20";"EUR"
"2017-03-16 00:00:00";"13,03";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 50% nuolaida";"1";"13,03";"EUR"
"2017-03-16 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"7";"12,18";"EUR"
"2017-03-16 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"17";"7,82";"EUR"
"2017-03-16 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"218";"69,76";"EUR"
"2017-03-16 00:00:00";"17,38";"3 mėnesių";"3 mėnesių (90 dienų) bilietas su 80% nuolaida";"1";"17,38";"EUR"
"2017-03-16 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"46";"266,34";"EUR"
"2017-03-16 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"4";"20,84";"EUR"
"2017-03-16 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"5";"11,85";"EUR"
"2017-03-16 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"11";"13,42";"EUR"
"2017-03-16 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"44";"30,80";"EUR"
"2017-03-16 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"18";"3,42";"EUR"
"2017-03-16 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"142";"18,46";"EUR"
"2017-03-16 00:00:00";"86,89";"3 mėnesių";"3 mėnesių (90 dienų) bilietas";"1";"86,89";"EUR"
"2017-03-16 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"46";"1332,16";"EUR"
"2017-03-16 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"9";"234,63";"EUR"
"2017-03-16 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"6";"71,22";"EUR"
"2017-03-16 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"2";"12,16";"EUR"
"2017-03-16 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"10";"34,80";"EUR"
"2017-03-16 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"313";"291,09";"EUR"
"2017-03-16 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"5031";"3219,84";"EUR"
"2017-03-15 00:00:00";"14,48";"30 dienų";"30 dienų bilietas su 50% nuolaida";"3";"43,44";"EUR"
"2017-03-15 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"2";"3,48";"EUR"
"2017-03-15 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"47";"21,62";"EUR"
"2017-03-15 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"376";"120,32";"EUR"
"2017-03-15 00:00:00";"52,13";"9 mėnesių";"9 mėn.(270 d.) bilietas su 80% nuolaida";"1";"52,13";"EUR"
"2017-03-15 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"54";"312,66";"EUR"
"2017-03-15 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"5";"26,05";"EUR"
"2017-03-15 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"5";"11,85";"EUR"
"2017-03-15 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"12";"14,64";"EUR"
"2017-03-15 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"29";"20,30";"EUR"
"2017-03-15 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"15";"2,85";"EUR"
"2017-03-15 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"132";"17,16";"EUR"
"2017-03-15 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"58";"1679,68";"EUR"
